,reviewid,retailer,productNO,rating,subject,text,label,category
12,a7d1b6a5067d651056d1130c5c286d37,Boots,2116071,5,,"She said all my spots looked liked they'd gone, and my face looked so fresh and so clean.","['functionality', 'presentation']",Mass Skincare
13,b0024a55b5430369a074a00f12cb1656,Amazon-AU,B07KRRD85C,5,our dogs like it,happy with the product,[],Cat Food (main meal)
14,5071c5eb240010c749939e6ab4cc5ed1,Zooplus,437333.2,5,Excellent food,"After researching what best to feed them we've settled on a mixture of this fantastic quality tinned food from Zooplus (Feringa and Animonda Carny), Butchers Complete tins and a commercial frozen raw food.","['flavour', 'ingredients']",Cat Food (main meal)
15,3bf2fc6e0509214a3db2ea93075b7179,Walgreens-US,prod6047029,5,Great flavor,Delicious treat.,['flavour'],Fruity Confectionery
16,e67381a376a13034f4615969ba93797b,Viovet,144652,5,Good product,"Due to our English Springer having a bad habit of chewing at his feet, we feel better knowing that this easy to use spray does the trick of cleansing them, Jud doesn't mind being sprayed as it is so quick and easy.",['functionality'],Sweet_Biscuits
17,dc05a23a5d427336b6cc256315eb6319,Master-Of-Malt,35006,,rather rubbish,"Unpleasant thin taste, the warning signs are on the label when it is suggested you mix it, ffs.",['flavour'],
18,d60c926fd7a10856edbfed010fdfe75c,ASDA,1670450,5,Delightful fruit toast!,It's super tasty and leaves the kitchen smelling amazing!!,['flavour'],
19,4a780c92d32ff8034d824e5cd186304e,Zooplus-NL,573695.1,5,,goed,[],Dog Food (main meal)
20,781d018909d328d4f8cd9e46543e25ba,Amazon-US,B00SX37MWA,5,HEAVENLY,"But I do bathe for my friends and try to do things that, more likely than not, will entice me into a relaxing, leisure time in the tub.",['functionality'],
21,ff50e7e457ebb13948492a0436ddd704,Superdrug,247073,5,Brilliant Product!,"It is so good I have just bought another 3 jars - one to replace the now empty one, and 2 spares so that he doesn't run out.",['flavour'],Mass Skincare
22,bfc86fe87a903188dad8bdfb061db9a8,Amazon-US,B00153SSY6,5,Only dry food my cat doesn’t throw up,"Blue buffalo, science diet, natural balance limited, these are a few of the brands I tried.",['ingredients'],Cat Food (main meal)
23,4e891d5a39757dccfb68616dd389fe4c,ASDA,9.10E+11,5,Fevertree Tonic,Just a pity it is quite expensive compared to thee leading brand.,['price'],
24,eee6d6ad5fc11a253f1d9d7f9f079f3e,Amazon-UK,B075WXPYMZ,5,One of the best preworkouts,"The pre workout itself however, gets the job done.",['functionality'],Pre Workout & Fitness Supplements
25,3da4f240e6987f8c9a02a5d87f84bfd5,Amazon-US,B015WD6VKW,4,Decent food,Cute little heart shaped food.,['presentation'],Cat Food (main meal)
26,7052908966ca8af7087ceb956d82e0cf,Fetch,289057011,5,Present for a friemds dog!,Order process for straight forward and easy and delivery was next day!,['shipping'],Dog Treats
27,6f35f13f40881e0c7aae2bc20b430547,John-Lewis,233959215,5,Amazing!,My 2 month old baby boy is in love with his toy.,['functionality'],
28,29bf0501e1638cb2f931e4fef4fecbb5,ASDA,9.10E+11,5,Tasty!,My cat Oscar is a beautiful ginger boy.,[],
29,c4c181b295069ce6239fd3d824ec14dc,Walmart-US,10535652,5,Like the real thing,How wonderful that it tastes like real Hershey's Chocolate!,['flavour'],Chocolate
30,0e6e7c3cab669a67cbc22bdf5a449eb5,Amazon-UK,B07TH3P9JX,4,Quality loose leaf tea,"It is a thin cellophane which splits easily, in every direction.",['functionality'],Tea
31,7351daf308ca9b19166b09499c9549c8,Medicanimal,I9303278-1.5Kg Chicken,4.5,good food,our dogs love this food and the kibble is small enough for all sizes,"['size', 'flavour']",
32,6ad38a8f8ec48cc8127e1d5837bc8280,Walmart-US,174197182,5,Best of old Spice!!,This one is by far the absolute best.,['flavour'],
33,63ca88410b0edb87d9a9b6dfaa9f3ba4,Waitrose,897219,5,Anniversary Treat for my missus,"Along with other anniversary staples, flowers, gin, etc I picked these chocs.",[],Chocolate All Year Round Boxed
34,472a290945659b0899bef3f90b343239,Candy-Warehouse-US,131193,5,Circus Hard Candy Sticks,"They are really colorful, and they came in perfect condition.","['shipping', 'presentation']",Fruity Confectionery
35,8db66c4437dfc1fb2ab8ab9c3b499287,Zooplus-IT,523312.21,4,MMMHH che buonoooo !!!,MMMHH che buonoooo !!!,[],Cat Food (main meal)
36,5b45ef321f119c964eb5be2fb6e18395,Walmart-US,190944733,5,pANDEMIC,What a DEAL!,['price'],Male Wet Shaving
37,bf12b0aaeab0ca21e28e3980e889a5ae,Zooplus,168525.5,5,protein malabsorption,My Lola (13 years old) began to be dehydrated and shed skin.,[],Dog Food (main meal)
38,f33f96fbb4862ae7dc14af44721c4737,Amazon-UK,B07R8FCYRC,3,disappointed I didn't get the full 120,love these lollypops as a little treat when dieting but they are expensive to buy in the shops so why not bulk buy to save some money.,"['price', 'flavour']",Fruity Confectionery
39,7583e48fe70b48edcbeb5ab3e6196f75,Target-US,A-17078504,4,Healthy tasty yumyum tumtum schnackk,Yumyum tumtum,['flavour'],
40,d1a1a34758c8107c7fca6844cadb743b,Amazon-US,B00IEXQZYA,4,Happy pups,The price is right.,['price'],Dog Treats
41,72652bee6570741e6e2df4372983ff37,Currys,245359,0.5,,No room for dinner plates to stand up on bottom shelf so overall pretty useless!,['functionality'],Dishwashers
42,ecd4393b366c01a32085414614d22a24,Medicanimal,I0041611-12kg,2,I don't like it!,I'm sure it's good stuff but why can't they make it taste better?,['flavour'],
43,cadb957fbe39030965eb1c8b109fc664,Chewy-US,50785,5,Great Product!!!,We put our Rottweiler mix dog had some skin issues so we switched from the regular Blue Buffalo to the Grain Free.,['ingredients'],Dog Food (main meal)
44,675df1116f55fba2d1728d1d281ad756,ASDA,1.00E+12,5,Best Yet!,Tasty and not at all dry (which is often the case with chunky chips).,['flavour'],
45,fbf2c7235420c155f9bcc18df1a54c05,Walgreens-US,300398771,5,Best sunscreen,I was gifted this sunscreen and I absolutely love it!,['functionality'],
46,2eeb807835c3fefef8e1c4fda8311572,Amazon-US,B01COZ6OW6,5,Amazing shave,Dorco was a good shave Harry's was next.,['functionality'],Male Wet Shaving
47,d426667d664760d9100d58fcf472cd42,Amazon-UK,B00P81EA3E,5,There really nice,Great taste,['flavour'],Sweet Biscuits
48,affa2ab57e50eeaeee22037275dbd774,Amazon-Fresh,B01BM9EIJ6,2,Did not enjoy,Hardly any meat.,['ingredients'],Frozen Meat & Poultry
49,a651f93b40bab1461dbcb1582e84e460,The-Whisky-Exchange,21903,,,"The nose somewhat heavy with oak spice, but extremely well balanced.",['flavour'],
50,509d10c4241daf0415c8d16d93a07f36,Amazon-US,B0107QOYIK,3,container,it won't pump out quite a bit of the lotion as it nears the bottom.,['functionality'],Mass Skincare
51,d829d198d9bbbfe9d4c6a3a96f2088e1,Amazon-US,B0823YBR75,4,It works,I don’t like the smell.,['flavour'],
52,cbfef64f5e66e7db9718f442178b666a,Zooplus-PL,49450.4,5,ROCCO,ROCCO,[],Dog Food (main meal)
53,fff8049b1fdafbe3f0a36b6a28e0b632,Amazon-Fresh,B01DPG85ZC,5,My dogs love this quality food,Both my shepherds love it!,['flavour'],Dog Food (main meal)
54,182b6bb29a38a408814e778ae351265e,Master-Of-Malt,11104,3,Not double good,"Smooth, creamy and good.",['flavour'],Whisky
55,5be777f0706fbea50270f64f96b289c6,Chewy-US,52684,5,Love this kibble - but I changed,I try to give all my Dobermans the best Kibble possible.,[],Cat Food (main meal)
56,edcecd274c3f47538e9d726d5dfa6683,Sainsburys,7477114,1,Palm oil?,Straight in the bin and will not be buying again.,['ingredients'],
57,c92fc9679ae4cd73cf941ed77f413fcd,Walgreens-US,300394780,1,Product Has Changed - Taste Is Now Horrible!,Product was changed a few months back.,[],Mints
58,03fd027716f65ac46365314664b8b595,Chewy-US,161112,5,Extra gravy,If your animals dog or cat like extra sauces or gravy they enjoy the lickable treats mine do,['flavour'],
59,701a340231c3149becf0f5a8cb7cc844,Sainsburys,7850036,5,Give me more,"Yum, yum.",['flavour'],Coffee
60,131af64e2a7657d3d681fb53d86279f9,Amazon-US,B071HY1HCT,5,good quality dog food,high quality dog food - we mix a spoonful into our dogs' dry food - they love this.,"['flavour', 'ingredients']",Dog Food (main meal)
61,5fee14c553197eb533dd5d4610b1c97a,Zooplus,490572.8,1,MY KITTEN HATES THIS,MY KITTEN HATES THIS,['flavour'],Cat Food (main meal)
62,addac7b4f3721db9945eb9d1d7cb7655,Superdrug,769201,3,Nothing different with luna mini,It's good to use this brush to clean face.,['functionality'],
63,b571d8ba5d62e1ca31e00f91a56d92ce,Amazon-Pet-Supplies,B07P19RHHL,4,Loved by dog,"It doesn't, however, give him the firmest stool.",['functionality'],Dog Food (main meal)
64,71cb938642477c0b1a0c2fb20f093e7f,Target-US,A-13055565,5,,These single size snack versions are fantastic options that allow me to be able to bite through even while frozen and allow me to tactic my sweet tooth chocolate cravings [This review was collected as part of a promotion.],"['size', 'flavour']",Chocolate
65,eb7204da9f046cd97f4fda7f9adac44f,Medicanimal,I0045389-48 x 85g- (morsels in gravy),5,,I find this product very good and much cheaper then from my vets,['price'],Cat Food (main meal)
66,5386c6fa2ba77ba95cb910d1a18c4b6f,Amazon-UK,B006JNZTWG,5,Great! Love this brand,"Really good nice, rich bean with great flavour adds something special to every meal.",['flavour'],Italian Cooking
67,434b2c27576f2f9a47a48e789ad1b436,Wilko,489006,3,"Slow puncture, but great service",Product inflated with electric pump (not supplied).,['functionality'],
68,6b6d79b5de526a1cecf402b6bc99f953,Chewy-US,86195,1,All 3 hated it,Sick and tired of finding something then it being discontinued or hard to find.,['flavour'],Dog Food (main meal)
69,428a69dc0f03c63fc386ec7f7f8e2b25,Sainsburys,7694786,5,excellent,her favorite food .,['flavour'],Cat Food (main meal)
70,d8a1ead79992c51180e00c2dd218c4e3,Amazon-US,B07KL48W4P,4,Excellent product !,I would recommend this product !,[],
71,06d32f2997d64a836f75170198d73131,Chewy-US,141902,5,Recommend highly,Oreo doesn’t like it as much but I recommend it.,['flavour'],Cat Treats
72,6caf4626166464865fe6a8af1a1bb334,Amazon-US,B01CU5ZUTI,5,Yummy Gummy!!!!,Great for the teeth!!!!,['flavour'],Gum
73,7bb65c5fb765a2a97a3b9562c8214b17,Target-US,A-76153613,,Best acene treatment,Fast working helps with swelling an redness!!,['functionality'],
74,efe9db7f77f358f51cb81fcce5ef479b,Amazon-US,B07WDLNKKQ,4,Yummy Chocolate,Someone more sensitive to caffeine might notice more.,['ingredients'],Chocolate
75,a0678a56cd71c9704818fae4b539a155,Chewy-US,67459,4,Trying new food,They have been getting it with the current food for about a week.,[],
76,77ae11e2a2c0646ac8d25a7345641d03,Zooplus-IT,509039.3,4,Io raccomando,Io raccomando,[],Dog Food (main meal)
77,1fd8b18162ef2e8bb49c67f79b2e2ae2,Amazon-US,B00HNSSV3U,5,For my tattoos,"I'm really particular when it comes to sunblock, it has to be light, clear, high spf and most importantly not have a strong smell that sticks around until you wash off.","['functionality', 'flavour']",Suncare
78,c9b815242c95a7013083d6c5af035600,Amazon-US,B07GQG6MVJ,3,Too close to expiration date,"Product is authentic but old, in a beaten-up box with just a few months left before expiration date, meaning the rice is well over a year old.",['packaging'],
79,9f53eab29548cc63ac53a237b7e4afbd,Ocado,271643011,5,Silky smooth blend of pure ingredients,Pleased that 10% of profits donated to children's charities too.,"['flavour', 'price']",Chocolate All Year Round Boxed
80,af36abdd2d5e3fe88d2fdead560ccabc,Walmart-US,814708416,5,It really works!,If your looking for an awesome product that you can use without worrying about after effects this is it!,['functionality'],
81,8b068f4a350cdf9c082f7386e87cc2b2,Amazon-UK,B07V6K6XBB,5,Nice assortment of biscuits,I don’t think I’d pay nearly £7 for this size of biscuit assortment.,['size'],Confectionery Seasonal
82,7435543457970912a4e4ff510c05a471,Amazon-US,B005G5ZQYE,4,Cats love it,The cats love it,[],Cat Food (main meal)
83,1ec63b1aa7c6ec2841ac4c0a7ca34216,Chewy-US,69154,5,My dogs favorite treat,It is a great product and enjoy by the puppies.,['flavour'],Dog Treats
84,26bad8a53135db01368c838b4c184380,Tesco,290350049,5,Great tasting,7th November 2018,['flavour'],Sweet Biscuits
85,8b38ad0bbfb2904842f8cf5e69a44cad,Chewy-US,46923,5,My cats licked their bowls clean.,They loved it.,['flavour'],Cat Food (main meal)
86,7c8fe0bacadfe13db7a9933a1c277b4e,Zooplus,319143.84,5,Superb food for GSD,"To me Royal canin is for anyone who has a GSD and is struggling with digestion issues etc, overall my dog is a picture of health, shiny coat, lovely temperament and no eye/teeth issues etc, now this in part to getting her from a great and respected breeder, but the food plays a massive role in her wellbeing.",['flavour'],Dog Food (main meal)
87,c0318f4f4e0abbcd1cb21f96d2191b70,Amazon-US,B077L33DLT,4,Dog loves these,Dog loves these But not so sure they work so well,['functionality'],Dog Treats
88,886231b8e2a41106faf6b446b8cf505b,ASDA,1.00E+12,5,Great value bed sheets,"I purchased these for both of my boys bed, they were a great price and wash really well. [","['price','functionality']",
89,913f63a201ed5a3c9b5957802653ee4c,Amazon-UK,B00159JVVO,5,Great Smell,According to my wife these blades really cut it in the smell department and have the beauty of a very close shave!!,['functionality'],Female Shaving
90,fd63071971cac42d840e14d055b6111c,CVS-US,1040235,5,,"Yes, I recommend this product.",[],Mints
91,c751ed0ca4b0c894c733dc8e81602ec5,Amazon-US,B07WFQNS85,5,Surprisingly tasty,Did the caffeine help?,"['flavour', 'ingredients']",Chocolate
92,fa0bfb20ea182a996255ce6756cec77b,Master-Of-Malt,1950,,Stugots,.,[],Chocolate
93,5354b2a26989d91a245d5e342a6bc526,Pet-Stock-AU,54875,5,“***** HIGHLY RECOMMENDED *****”,"I like soft, neutral, natural tones in my home and the PetPals range fits the bill perfectly.",['presentation'],
94,ccdb81824465f4a3e89eb0af88a4af1f,Ocado,480893011,5,The Best.,Traditionally we roast these directly on the hob not the pan.,['flavour'],Ambient Asian cooking
95,a06ed3e5fd30a32908c5af535e687ded,Zooplus-DE,401902.4,5,,"Na, ja,.....",[],Cat Food (main meal)
96,4eced02f66dca183a47e0ff9807ebac2,Sainsburys,2051666,5,The perfect snack,What is there to dislike about pot noodles.,['flavour'],Ambient Asian cooking
97,e3923d439ec2a8996c7a608c6c271778,CVS-US,2260075,5,,"The coffee flavor is subtle but for sure present, so it is not overwhelming.",['flavour'],Chocolate
98,1e86052aade2d81656683c023b4bf2bb,Ocado,417034011,5,Full of flavour,I tried this for the first time.,['flavour'],Tea
99,cfbada6d734251c0478640cd28c3d053,Peapod-US,165003,1,High in Sodium AND Sugar,So much sodium and sugar in one small drink.,"['size','ingredients']",
100,6bd99eae1745d8c4a6aaea3586d09b5c,Waitrose,853662,1,Revolting,It is very disappointing hardly any filling will never buy it again,['ingredients'],Chilled Ready Meals
101,9eef979022b0ecc7c29ea97fd82d6326,Walmart-US,26958169,5,Good to have new blades...,"Now that I'm using the new blades, I'm getting a much better shave than with the old, worn blades and I'll try to order after just one year has passed and hope they are still in stock!",['functionality'],
102,03b54eb3799242b6191a52800af05165,Amazon-US,B00412RKL0,5,Recommend,Smells great too!,['flavour'],
103,0d0fa9e31243f4f0493c08bbf89e53a3,Sainsburys,Item code:,1,Wrong weight as box has shrunk !!,Had a box of these delivered today with my shopping.,['shipping'],
104,4c6d01659eac166e3240be3ace8f8173,Amazon-Fresh,B07JZR93HL,5,Gin with a bit zing,Nicely packaged and arrived nice and prompt.,"['shipping', 'packaging']",Gin
105,bab0a7ec57a9815bc20c95b4d078c63e,Sams-Club-US,11650574,1,,"Thank you, Rosemary",[],Feminine Hygiene
106,3c481953a63b4b5ce622deeffb27efad,CVS-US,352377,5,,"My husband and I are gummy lovers, so we are always trying every brand and variety that we can find!",[],Fruity Confectionery
107,d29199953e93dce4f1be461afd36dc79,Master-Of-Malt,2554,,Great flavours and excellent bang for your buck!,The rating is given with price in mind.,"['price', 'flavour']",
108,8e6fd2642a9e88690b4f1b315aba9083,Sainsburys,7613058,5,Fabulous go to treatment,This review was collected as part of a promotion.],['functionality'],Mass Skincare
109,647fa5ae6d24709cab29aab5e1943b75,Boots,10260594,3,"Very light tan, still sticky like a regular moose","Im a regular user of Bondi Sands, and I’d say that it is exactly the same as their other products.",['functionality'],
110,d5ed7fb01aeb73ce8410b5e502295d4e,Amazon-UK,B00470CVOC,5,A sweet purchase,Nostalgic memories are alive in my mouth.,['flavour'],Fruity Confectionery
111,6c0bdd3bc1cb623fa0d71372701f4fec,Candy-Warehouse-US,127131,5,Olden Day Taste!,"Will buy again, wish they had them in bulk.",['flavour'],Chocolate
112,11dd01f746ba385e20fce452f873d5f7,Walmart-US,580410744,1,Careful...,They sting during and after use.,['functionality'],Skin Wipes
113,15d8f664273e4eadc1053e3699f777ff,ASDA,9.10E+11,5,Reluctantly in love,I hate beige food.,['flavour'],
114,5fe2d17f0e43d21b5ce0e3d8fd7b80e4,Amazon-US,B01EVZ6KDK,3,Cats hate it,Make sure not to buy the biggest bag offered.,['flavour'],
115,31c277aa921a21a71262539c4a9e1bc8,Amazon-Pet-Supplies,B007QD0KMC,1,Waste of money,I did an immediate swap and the gold fish took a sudden liking to the latter.,['functionality'],
116,d10590a5e559051da2488cfe917e25e9,Amazon-Fresh,B07V24R7LC,5,The ingredients are pure and healthy,My dog loved these .,"['ingredients', 'flavour']",Dog Treats
117,dde22d1fb7848099b91eaf46dbf8364d,Petco-US,2695521,4,Mostly Positive Things To Say,"I keep switching brands due to kibble size (my dogs are small), the mess (none of my dogs will eat the ""life-source bits"" in Blue Buffalo resulting in them being all over the floor) OR, AVAILABILITY.",[],
118,2632ac2c444501d0b5960fca0c99eb4d,Amazon-UK,B01708F7AC,1,Wasted.,Now I have two masses of melted chocolate.,['flavour'],Chocolate All Year Round Boxed
119,26f875a352179c60cfb1101d3376ee7e,Zooplus,360340.1,5,Just the Best,The portion required is less than other brands and I finally have my happy healthy GSD; plus the lawn looks good again!,"['size', 'presentation']",Dog Food (main meal)
120,99cf7ce48094479f3670eaa2cec3a339,Chewy-US,218276,5,Fit and Healthly News,"Although she is 11 years old and slow, and I am very new to this doggie food brand, I am hoping for some weight to come off of her :) :) Thank You",['flavour'],Dog Food (main meal)
121,bf8048361a390c0ae5cd55e22e9bd47f,Walmart-US,26712685,1,Do not buy this product,I may have liked the product if it would spray.,['functionality'],Suncare
122,c239dcb9e43fcdc8e02818812a9b796b,Amazon-Pet-Supplies,B000VJZQNQ,5,Five Stars,Totally satisfied with the service and the product.,['functionality'],
123,362d5af96d442b7bb05e7d1aa9b2e14b,John-Lewis,238019508,5,Great toy,One part of this doll's house was damaged and John Lewis in Edinburgh replaced it immediately with one from the display model.,['packaging'],
124,d9a12c584970527b08ec1e0f5e0d2024,Chewy-US,89685,1,They smell great but very greasy on your hands,They smell amazing but when taking them out of the package they are very greasy!,"['flavour', 'ingredients']",Dog Treats
125,6feca63e2923b231a8062f05c18e92ba,Sainsburys,6632805,3,Bit disappointing,The cheese and chive was the preferred one.,"['flavour', 'ingredients']",Mexican Cooking
126,a43dc1810d95e81e78469d63f5564797,Target-US,A-78638237,5,(no review title),You get 4 in this bag so that's really nice.,['size'],Fruity Confectionery
127,b46e7fa9bd34894f3c4471298e5f00a8,Walmart-US,493674090,5,love these,I received complimentary products to facilitate my review,[],Skin Wipes
128,ec76fbb674afe94cdf58b759cbdf0083,Amazon-US,B01LQ7YK1A,5,GREAT GUM,Thank you for this,['flavour'],Gum
129,2b55cb43bf1cc70ce467a38e5733c646,John-Lewis,237874094,5,Awesome,My son loves it,[],
130,ea75e5ed2ccddf38f77356fcf85ce84f,Tesco,251985123,5,Comfortably Southern drinking.,Lovely stuff.,['flavour'],Whisky
131,8a7c8c208b8baac65b191d713e077ccc,John-Lewis,237502038,5,Great set,To join to the Porsche 911 GT3 RS.,[],
132,6e087f75e6960bf7052973edf253fd0a,Boots,10269894,1,Waste of money,Originally posted on No7 LABORATORIES LINE CORRECTING Booster Serum 15ml,['functionality'],Mass Skincare
133,91bd4d4d3f6c45156e60dc89fd2d3f55,Boots,10009700,5,,Makes you feel great!,['functionality'],
134,d0c4ac2b8d6d115a2ccf0aa132dddb28,Amazon-Pet-Supplies,B07KFXGHL7,5,Fantastic for allergies.,Her coat has never looked better either.,"['presentation', 'functionality']",Dog Food (main meal)
135,72f10972edf8676f1f9ef3633f3540ef,Waitrose,2188,5,Absolutely delicious!,Only problem is our local store no longer stocks them!,['flavour'],
136,48ae2d9185e639b9ace59e695d8719b5,Sainsburys,Item code:,4,"Mild Taste: General vegetable-ish, nutty, sweet savoury","However, with this JS bag of beans, it's advisable to follow the manufacturers cooking instructions.","['flavour', 'ingredients']",
137,700d9e4c8734a3daec50bb30be444068,Sainsburys,7642471,5,Wonderful stuff,"It’s very good served with various meat dishes, especially game birds (pigeons, quails, guinea fowl).","['flavour', 'ingredients']",Rice
138,caa3ef0ec55981d4a4ffafcbc60a1a72,Walmart-US,115990031,5,,this is a wonderful dog food.,['flavour'],
139,0623cb072399254ae5cb1928350902ee,ASDA,9.10E+11,5,Easy to apply,I love the fact that it's a factor 50 as its one that is going to give you a good protection.,['functionality'],
140,c85a35839ad93383b08ca74f5f56cc25,Iceland,65724,1,,"Greenish discolouration to the bacon which after grilling turned into black smeared streaks so threw it away,absolute waste of money,would definitely not buy again,in future I’ll stick to fresh British bacon instead of Iceland’s disgusting and inedible German bacon,can’t be very fresh if it’s got to travel from Germany...and it most certainly isn’t!","['price', 'ingredients', 'presentation']",Chilled Meat & Poultry
141,42b61ec2da6bd313498695a04d0184cf,Ocado,382954011,5,Yum yum. Just try not to eat them all at once.,As for the chocolates.... there are 42 so you can eat 6 a day and they'd last a week. (,['flavour'],Chocolate All Year Round Boxed
142,ef0b1678f433e3022a60887d17909193,Zooplus,358729.19,5,Our cats love it!,"We found it a bit of a chore to order online though so switched our cat's to Wainwrights wet food, which could be purchased from our local pet shop.",['flavour'],Cat Food (main meal)
143,afc5bcc5e50bf8422ca23b72b5531674,Target-US,A-78590321,,Can you handle it?;-),Very strong which I love it for!,['flavour'],Gum
144,6b31b36a18d250e54ad2f72dd6ffce77,Chewy-US,149005,4,doggie approved,My dog really likes these and they seem to last a while!,['flavour'],
145,f18a95b5f835415baed1e1e83eb692d2,Wilko,479890,5,Excellent Service,"Once ordered, the delivery was a matter of days.",['shipping'],
146,d6663e0f9aeda76145a88dc5b8074ec8,Argos,4819314,,,Over all very happy with this purchase and stores in my utility room beside the washing machine so takes very little room to store,['size'],Outdoor Toys
147,5d38c1ad5e49f39e676cc3941b470205,CVS-US,18 CT-Regular-1011293,4,,Mainly because they’re the only pads I see and can buy in bulk.,['functionality'],
148,5cc7966de9f72a4e2b0f887b7c90272f,Amazon-UK,B01CXJKTKQ,5,Milky calming cream after sun exposure,Definitely recommend it.,['functionality'],Suncare
149,bec164577fb1a4292dbbc53c4c1cd7a1,Amazon-US,B07R36QVDM,5,Fresh for Hours,The best mints I’ve found.,['flavour'],Mints
150,206058311cc5a66169ffda8031965859,Ocado,475998011,5,Dog likes it,Its more expensive than Tails so I will probably stick with that.,['price'],Dog Food (main meal)
151,1e0cdb5a86b54c581d8b4cc5efc4ce4a,Zooplus,850688.27,5,Happy dog,Happy dog,[],
152,855b4bd3877ad767f5df5b60bb2e2419,Amazon-UK,B00BYUT45C,1,Disgusting!,Awful taste and texture would not recommend,['flavour'],
153,a0fbee260604d40ed9cbfcbd63e10855,Amazon-US,B07V5TJTZJ,4,Huge pieces and our dogs love them! Just make sure to watch for choking,All three dogs LOVE these - they go crazy when they hear the bag rustle.,['flavour'],Dog Treats
154,3110a2252bbc804a89630e756e339510,Sainsburys,176422,1,Has added sugar.,What is this obsession with adding sugar to savoury food?,['ingredients'],Italian Cooking
155,97bde474dd5fae40167c6ce014105573,Superdrug,779938,3,,This is a nice toner that has a good consistency and is easy to apply.,['functionality'],Mass Skincare
156,74cf970bbacdc5e05556682786b9528f,Fressnapf-DE,1202431,5,Miamor Ragout Royale 16x100g Kalb in Tomatencream,Super Ware,[],Cat Food (main meal)
157,3a77ad7bf568a0e342978ba001c06242,Amazon-UK,B0106C7SDS,1,Vile and bile,It genuinely tasted like bile.,['flavour'],Cereal Bars / Breakfast on the Go
158,640420fa985b712b6fd7304b087018d8,Walmart-US,674806231,4,Yummy treat,It has a really smooth and rich flavor  that makes it hard to just eat one.,['flavour'],Halloween
159,37e0b52e86d9c5c32094c8aaff5870d1,Walmart-US,54042916,3,not what I wanted,now they are a waste of my money and I have to go buy the correct ones.,['price'],
160,440768bb37847dce68fd5849f0d35324,Amazon-UK,B007XR92CU,1,toooo watery,No flavour & too watery,['flavour'],Soup
161,6480d2bd3c00da6e08dafa0b3967a18f,John-Lewis,231683057,5,Compact size but feels like a proper camera !,"I like the fact that the camera feels quite substantial in my hands, however as other people have pointed out it is a bit slippery so you have to be extra careful to always use the wrist strap.","['size', 'functionality']",
162,c52596c761f5e772c7d24a2aec7e3465,Walgreens-US,prod6381543,4,refreshing,It was a wake up remedy.,"['flavour', 'ingredients']",Gum
163,f73e647cd6a80cd71b2c522abfae63d7,Amazon-Pet-Supplies,B00J1NXKX6,5,Excellent biscuits,Dog loves them good quality ingredients and a seal that actually works !,"['ingredients', 'packaging', 'functionality']",Snacks
164,31a7ea7448288a5e704b808964000867,Amazon-US,B07L3LR898,1,Unexpected result,Cats wouldn’t eat it after smelling it.,['flavour'],Cat Food (main meal)
165,24480644f42b4661f321f2565f318fac,Zooplus-FR,577132.3,5,,Super,[],Dog Food (main meal)
166,f057cf37067d5d8026f02435b9f870d4,Medicanimal,I0015673-60g - Salmon,5,,The cheese ones are the most popular in this house!!,['flavour'],
167,603b665c7f971eaf95c03a2f537e0632,Target-US,A-51221151,2,,This review was collected as part of a promotion.],[],Chocolate
